,ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Constitution
0,202001,Marks,Shenzhen,male,166,0.43478260869565216,1.0,0.4583333333333333,0.5833333333333334,0.7,0.2,0.4,0.2,0.6666666666666666,,0.3333333333333333
1,202002,Wayne,Shenzhen,female,159,0.43478260869565216,0.5217391304347826,0.6666666666666666,0.3333333333333333,0.9,1.0,0.2,0.0,0.8333333333333334,,0.6666666666666666
2,202003,Bonnie,Guangzhou,female,157,0.5652173913043478,0.5869565217391305,0.3333333333333333,0.22916666666666666,0.7,0.8,0.2,0.4,0.6666666666666666,,0.6666666666666666
3,202004,Grace,Guangzhou,male,168,0.6521739130434783,0.17391304347826086,0.3333333333333333,0.375,0.5,0.8,0.4,0.6,0.16666666666666666,,0.3333333333333333
4,202005,Hayden,Shanghai,male,168,0.782608695652174,0.6086956521739131,0.75,0.3541666666666667,0.8,0.8,1.0,0.8,0.6666666666666666,,1.0
5,202006,Chelsea,Guangzhou,female,163,0.5217391304347826,0.43478260869565216,0.375,0.6458333333333334,0.5,1.0,1.0,0.6,0.8333333333333334,,0.3333333333333333
6,202007,Dylan,Shenzhen,female,154,0.6956521739130435,0.4782608695652174,0.5,0.6666666666666666,0.9,0.4,0.4,1.0,0.8333333333333334,,0.3333333333333333
7,202008,Yolanda,Shanghai,male,174,0.6521739130434783,0.32608695652173914,0.2916666666666667,0.5,0.6,0.8,0.4,1.0,0.6666666666666666,,0.3333333333333333
8,202011,Franklin,Guangzhou,male,161,0.6956521739130435,0.5434782608695652,0.08333333333333333,0.7291666666666666,0.8,0.4,0.2,0.4,0.5,,0.6666666666666666
9,202012,Phyllis,Shenzhen,female,161,0.5652173913043478,0.5434782608695652,0.75,0.3333333333333333,0.9,1.0,0.8,0.6,0.8333333333333334,,0.3333333333333333
10,202013,Donald,Beijing,male,163,0.6521739130434783,0.41304347826086957,0.4166666666666667,0.5625,0.5,1.0,0.2,1.0,0.0,,0.3333333333333333
11,202014,Joy,Guangzhou,female,161,0.5652173913043478,0.8043478260869565,0.5,0.4583333333333333,0.5,1.0,0.2,0.6,0.16666666666666666,,0.6666666666666666
12,202015,Josephine,Shanghai,male,175,0.43478260869565216,0.34782608695652173,0.5416666666666666,0.8958333333333334,0.5,1.0,0.8,0.6,0.5,,1.0
13,202016,Rebecca,Guangzhou,female,160,0.6086956521739131,0.5434782608695652,0.5,0.3333333333333333,0.2,1.0,1.0,0.6,0.6666666666666666,,0.3333333333333333
14,202017,Dolores,Shanghai,male,168,0.6521739130434783,0.6956521739130435,0.5416666666666666,0.6666666666666666,0.3,0.8,0.0,1.0,0.8333333333333334,,0.3333333333333333
15,202018,Sierra,Shanghai,male,161,0.43478260869565216,0.8478260869565217,0.25,0.75,0.5,0.0,0.6,1.0,1.0,,0.6666666666666666
